win_title,win_class,task_type,remain_interval,idle_interval,day,time
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",0.400000,0.000000,2009-06-14,10:37:07
"http://www.15525.com/?get=1&id=165716 - 参考消息 - Windows Internet Explorer","IEFrame","Ohters",5.400000,0.000000,2009-06-14,10:37:13
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:37:13
"","#32770","对话框",1.800000,0.000000,2009-06-14,10:37:15
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.000000,0.000000,2009-06-14,10:37:19
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.500000,0.000000,2009-06-14,10:37:23
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:37:23
"8点报网络引导器","TBddMainForm","Ohters",0.400000,0.000000,2009-06-14,10:37:24
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",7.700000,0.000000,2009-06-14,10:37:32
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,10:37:33
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.700000,0.000000,2009-06-14,10:37:36
"http://www.15525.com/?get=1&id=165716 - 参考消息 - Windows Internet Explorer","IEFrame","Ohters",4.900000,0.000000,2009-06-14,10:37:42
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",5.800000,0.000000,2009-06-14,10:37:48
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",5.200000,0.000000,2009-06-14,10:37:56
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.800000,0.000000,2009-06-14,10:37:57
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",9.900000,0.000000,2009-06-14,10:38:08
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:38:08
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",17.600000,0.000000,2009-06-14,10:38:29
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,10:38:29
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",19.400000,0.000000,2009-06-14,10:38:52
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,10:38:53
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",5.300000,0.000000,2009-06-14,10:38:59
"http://www.15525.com/?get=1&id=165716 - 参考消息 - Windows Internet Explorer","IEFrame","Ohters",3.200000,0.000000,2009-06-14,10:39:02
"8DBMang Reader","TMainForm","Ohters",7.800000,0.000000,2009-06-14,10:39:11
"http://www.15525.com/?get=1&id=165716 - 参考消息 - Windows Internet Explorer","IEFrame","Ohters",0.900000,0.000000,2009-06-14,10:39:12
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",7.500000,0.000000,2009-06-14,10:39:21
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.600000,0.000000,2009-06-14,10:39:22
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",18.500000,0.000000,2009-06-14,10:39:43
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.700000,0.000000,2009-06-14,10:39:44
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",259.200000,0.000000,2009-06-14,10:44:32
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:44:32
"","Shell_TrayWnd","Ohters",3.700000,0.000000,2009-06-14,10:44:39
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:44:39
"8点报 阅读器","Afx:00400000:b:00010011:00000006:0042076D","Ohters",2.100000,0.000000,2009-06-14,10:44:42
"陶成章 - 维基百科，自由的百科全书 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",1.500000,0.000000,2009-06-14,10:44:44
"","Shell_TrayWnd","Ohters",0.500000,0.000000,2009-06-14,10:44:45
"8点报 阅读器","Afx:00400000:b:00010011:00000006:0042076D","Ohters",8.000000,0.000000,2009-06-14,10:44:54
"告诉您一个大秘密！","#32770","对话框",5.000000,0.000000,2009-06-14,10:44:59
"8点报 阅读器","Afx:00400000:b:00010011:00000006:0042076D","Ohters",17.800000,0.000000,2009-06-14,10:45:19
"告诉您一个大秘密！","#32770","对话框",12.200000,0.000000,2009-06-14,10:45:33
"8点报 阅读器","Afx:00400000:b:00010011:00000006:0042076D","Ohters",12.400000,0.000000,2009-06-14,10:45:46
"","Shell_TrayWnd","Ohters",0.400000,0.000000,2009-06-14,10:45:47
"http://www.15525.com/?get=1&id=165716 - 参考消息 - Windows Internet Explorer","IEFrame","Ohters",0.800000,0.000000,2009-06-14,10:45:48
"陶成章 - 维基百科，自由的百科全书 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",50.700000,0.000000,2009-06-14,10:46:44
"8DBMang Reader","TMainForm","Ohters",5.200000,0.000000,2009-06-14,10:46:50
"八阕 · 广角新闻 · 文　史：【孙中山是不是一个懦夫？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",147.200000,0.000000,2009-06-14,10:49:32
"http://www.15525.com/?get=1&id=165716 - 参考消息 - Windows Internet Explorer","IEFrame","Ohters",0.400000,0.000000,2009-06-14,10:49:33
"8点报 阅读器","Afx:00400000:b:00010011:00000006:0042076D","Ohters",3.900000,0.000000,2009-06-14,10:49:37
